##DATASET_NAME=axeq_chr3_6_14_18
##PROJECT_CODE=b2011097
##REFERENCE=/glob/jessada/private/master_data/reference/Homo_sapiens.GRCh37.57.dna.concat.fa
##KNOWN_INDELS=/glob/jessada/private/master_data/GATK_BestPractice_test_data/known_indels_SNPs/1000G_phase1.indels.b37.vcf,/glob/jessada/private/master_data/GATK_BestPractice_test_data/known_indels_SNPs/Mills_and_1000G_gold_standard.indels.b37.vcf
##DBSNP=/glob/jessada/private/master_data/GATK_BestPractice_test_data/known_indels_SNPs/dbsnp_138.b37.vcf
##OUTPUT_DIR=/proj/b2011117/private/gatkbp/axeq_chr3_6_14_18
##VARIANTS_CALLING=YES
##JOBS_REPORT_FILE=/proj/b2011117/nobackup/private/gatkbp/axeq_chr3_6_14_18/jobs_rpt.txt
##TARGETS_INTERVAL_LIST=/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/axeq_chr3_6_14_18.targets.interval_list
##USAGE_MAIL=NO
#SAMPLE	FASTQ1	FASTQ2	SAMPLE_GROUP	PLATFORM	LIBRARY	UNIT	USAGE_MAIL	PREPROCESS_SAMPLE
Al-104	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-104_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-104_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Al-111	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-111_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-111_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Al-131	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-131_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-131_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Al-138	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-138_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-138_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Al-140	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-140_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-140_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Al-145	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-145_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-145_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Al-161	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-161_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-161_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Al-169	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-169_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-169_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Al-17	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-17_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-17_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
Al-23	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-23_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr3_6_14_18/resources/Al-23_2.fastq.gz	1302AHS-0022	Illumina	lib1	unit1	NO	YES
