JOBS_REPORT_FILE:
JOB_ALLOC_TIME: "2-10:00:00"
PROJECT_CODE: b2012247
PROJECT_NAME: chr9_bert
PROJECT_OUT_DIR: /proj/b2011117/nobackup/private/projects_output/mutations_reports/chr9/chr9_bert/
REPORT_LAYOUT:
  ANNOTATED_VCF_TABIX: /proj/b2011117/private/databases/table_annovar/Bert/bert_annotated.vcf.gz
  COLUMNS:
    - Func.refGene
    - ExonicFunc.refGene
    - snp138
    - Gene.refGene
    - GeneDetail.refGene
    - AAChange.refGene
    - cytoBand
    - MAX_REF_MAF
    - KVOT_EARLYONSET_VS_SWEGEN_ESTIMATED
    - SWEGEN_AF
    - SWEGEN_GF
    - KVOT_EARLYONSET_VS_EXAC_NFE_ESTIMATED
    - ExAC_NFE
    - ExAC_ALL
    - ExAC_nontcga_NFE
    - ExAC_nontcga_ALL
    - KVOT_EARLYONSET_VS_1000G_EUR_ESTIMATED
    - 1000g2014oct_eur
    - 1000g2014oct_all
    - OAF_EARLYONSET_AF
    - OAF_EARLYONSET_GF
    - KVOT_EARLYONSET_VS_BRC_ESTIMATED
    - gnomAD_genome_ALL
    - gnomAD_genome_NFE
    - OAF_BRCS_AF
    - OAF_BRCS_GF
    - OAF_CRCS_AF
    - OAF_CRCS_GF
    - OAF_FAMILIAL_CRCS_AF
    - OAF_FAMILIAL_CRCS_GF
    - OAF_BRC_CRC_PROSTATE_AF
    - OAF_BRC_CRC_PROSTATE_GF
    - OAF_CHEK2_AF
    - OAF_CHEK2_GF
    - AXEQ_CHR3_6_14_18_AF
    - AXEQ_CHR3_6_14_18_GF
    - AXEQ_CHR5_19_AF
    - AXEQ_CHR5_19_GF
    - AXEQ_CHR9_AF
    - AXEQ_CHR9_GF
    - 249_SWEDES
    - 200_DANES
    - SWEGEN_HET
    - SWEGEN_HOM
    - SWEGEN_HEMI
    - SWEGEN_AC
    - SWEGEN_GT
    - SWEGEN_PF
    - ExAC_AFR
    - ExAC_AMR
    - ExAC_EAS
    - ExAC_FIN
    - ExAC_OTH
    - ExAC_SAS
    - ExAC_nontcga_AFR
    - ExAC_nontcga_AMR
    - ExAC_nontcga_EAS
    - ExAC_nontcga_FIN
    - ExAC_nontcga_OTH
    - ExAC_nontcga_SAS
    - gnomAD_genome_AFR
    - gnomAD_genome_AMR
    - gnomAD_genome_ASJ
    - gnomAD_genome_EAS
    - gnomAD_genome_FIN
    - gnomAD_genome_OTH
    - EXAC03_CONSTRAINT_EXP_SYN
    - EXAC03_CONSTRAINT_N_SYN
    - EXAC03_CONSTRAINT_SYN_Z
    - EXAC03_CONSTRAINT_EXP_MIS
    - EXAC03_CONSTRAINT_N_MIS
    - EXAC03_CONSTRAINT_MIS_Z
    - EXAC03_CONSTRAINT_EXP_LOF
    - EXAC03_CONSTRAINT_N_LOF
    - EXAC03_CONSTRAINT_PLI
    - cosmic70
    - clinvar_20150330
    - CLINSIG
    - CLNDBN
    - CLNACC
    - CLNDSDB
    - CLNDSDBID
    - dpsi_max_tissue
    - dpsi_zscore
    - InterVar_class
    - InterVar_evidence
    - targetScanS
    - wgRna
    - tfbsConsSites
    - AXEQ_CHR3_6_14_18_WT
    - AXEQ_CHR3_6_14_18_HET
    - AXEQ_CHR3_6_14_18_HOM
    - AXEQ_CHR3_6_14_18_OTH
    - AXEQ_CHR3_6_14_18_NA
    - AXEQ_CHR3_6_14_18_GT
    - AXEQ_CHR3_6_14_18_PF
    - AXEQ_CHR5_19_WT
    - AXEQ_CHR5_19_HET
    - AXEQ_CHR5_19_HOM
    - AXEQ_CHR5_19_OTH
    - AXEQ_CHR5_19_NA
    - AXEQ_CHR5_19_GT
    - AXEQ_CHR5_19_PF
    - AXEQ_CHR9_WT
    - AXEQ_CHR9_HET
    - AXEQ_CHR9_HOM
    - AXEQ_CHR9_OTH
    - AXEQ_CHR9_NA
    - AXEQ_CHR9_GT
    - AXEQ_CHR9_PF
    - OAF_CRCS_HET
    - OAF_CRCS_HOM
    - OAF_CRCS_OTH
    - OAF_CRCS_NA
    - OAF_CRCS_GT
    - OAF_CRCS_PF
    - OAF_CRCS_WT
    - OAF_BRCS_WT
    - OAF_BRCS_HET
    - OAF_BRCS_HOM
    - OAF_BRCS_OTH
    - OAF_BRCS_NA
    - OAF_BRCS_GT
    - OAF_BRCS_PF
    - OAF_BRC_CRC_PROSTATE_WT
    - OAF_BRC_CRC_PROSTATE_HET
    - OAF_BRC_CRC_PROSTATE_HOM
    - OAF_BRC_CRC_PROSTATE_OTH
    - OAF_BRC_CRC_PROSTATE_NA
    - OAF_BRC_CRC_PROSTATE_GT
    - OAF_BRC_CRC_PROSTATE_PF
    - OAF_CHEK2_WT
    - OAF_CHEK2_HET
    - OAF_CHEK2_HOM
    - OAF_CHEK2_OTH
    - OAF_CHEK2_NA
    - OAF_CHEK2_GT
    - OAF_CHEK2_PF
    - OAF_EARLYONSET_WT
    - OAF_EARLYONSET_HET
    - OAF_EARLYONSET_HOM
    - OAF_EARLYONSET_OTH
    - OAF_EARLYONSET_NA
    - OAF_EARLYONSET_GT
    - OAF_EARLYONSET_PF
    - OAF_FAMILIAL_CRCS_HET
    - OAF_FAMILIAL_CRCS_HOM
    - OAF_FAMILIAL_CRCS_OTH
    - OAF_FAMILIAL_CRCS_NA
    - OAF_FAMILIAL_CRCS_GT
    - OAF_FAMILIAL_CRCS_PF
    - OAF_FAMILIAL_CRCS_WT
    - Pathogenic_count
    - SIFT_score
    - SIFT_pred
    - Polyphen2_HDIV_score
    - Polyphen2_HDIV_pred
    - Polyphen2_HVAR_score
    - Polyphen2_HVAR_pred
    - LRT_score
    - LRT_pred
    - MutationTaster_score
    - MutationTaster_pred
    - MutationAssessor_score
    - MutationAssessor_pred
    - FATHMM_score
    - FATHMM_pred
    - RadialSVM_score
    - RadialSVM_pred
    - MetaSVM_pred
    - LR_score
    - LR_pred
    - MetaLR_pred
    - VEST3_score
