##DATASET_NAME=axeq_chr5_19
##PROJECT_CODE=b2011097
##REFERENCE=/glob/jessada/private/master_data/reference/Homo_sapiens.GRCh37.57.dna.concat.fa
##KNOWN_INDELS=/glob/jessada/private/master_data/GATK_BestPractice_test_data/known_indels_SNPs/1000G_phase1.indels.b37.vcf,/glob/jessada/private/master_data/GATK_BestPractice_test_data/known_indels_SNPs/Mills_and_1000G_gold_standard.indels.b37.vcf
##DBSNP=/glob/jessada/private/master_data/GATK_BestPractice_test_data/known_indels_SNPs/dbsnp_138.b37.vcf
##OUTPUT_DIR=/proj/b2011117/nobackup/private/gatkbp/axeq_chr5_19
##VARIANTS_CALLING=YES
##JOBS_REPORT_FILE=/proj/b2011117/nobackup/private/gatkbp/axeq_chr5_19/jobs_rpt.txt
##TARGETS_INTERVAL_LIST=/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/axeq_chr5_19.targets.interval_list
##USAGE_MAIL=NO
#SAMPLE	FASTQ1	FASTQ2	SAMPLE_GROUP	PLATFORM	LIBRARY	UNIT	USAGE_MAIL	PREPROCESS_SAMPLE
1015_05	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/1015_05_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/1015_05_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
1126_01D	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/1126_01D_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/1126_01D_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
1526_02D	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/1526_02D_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/1526_02D_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
1740_11D	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/1740_11D_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/1740_11D_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
2323_11D	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/2323_11D_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/2323_11D_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
2826_07D	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/2826_07D_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/2826_07D_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
3014_11D	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/3014_11D_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/3014_11D_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
531_04	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/531_04_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/531_04_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
602_05	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/602_05_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/602_05_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
729_04	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/729_04_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/729_04_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-1031	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1031_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1031_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-1110	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1110_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1110_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
Co-1116	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1116_1.fastq.gz	/home/jessada/private/projects/CMM/scripts/gatkbp/axeq_chr5_19/resources/Co-1116_2.fastq.gz	1303AHS-0016	Illumina	lib1	unit1	NO	YES
